Date,Close/Last,Volume,Open,High,Low
06/09/2023,$264.95,16949790,$262.48,$267.949,$261.70
06/08/2023,$264.58,20899360,$260.62,$267.65,$258.88
06/07/2023,$263.60,26163630,$271.67,$274.25,$262.80
06/06/2023,$271.12,19419010,$270.14,$276.57,$269.69
06/05/2023,$271.39,20742950,$270.30,$275.57,$269.56
06/02/2023,$272.61,19416930,$272.66,$275.35,$271.12
06/01/2023,$272.61,25609510,$265.90,$274.00,$265.89
05/31/2023,$264.72,25473690,$260.00,$265.00,$258.45
05/30/2023,$262.52,23816480,$265.25,$268.65,$261.29
05/26/2023,$262.04,25768660,$252.93,$262.3107,$252.71
05/25/2023,$252.69,22371440,$253.40,$255.62,$249.17
05/24/2023,$249.21,17724340,$245.28,$249.5892,$244.952
05/23/2023,$246.74,17748120,$246.81,$251.61,$246.65
05/22/2023,$248.32,27738480,$245.41,$253.57,$245.12
05/19/2023,$245.64,21733580,$247.47,$248.69,$243.41
05/18/2023,$246.85,22943300,$241.30,$247.0881,$241.19
05/17/2023,$242.485,21193080,$238.45,$243.8423,$238.14
05/16/2023,$238.82,18163770,$235.79,$239.635,$235.52
05/15/2023,$238.86,20653230,$236.92,$240.255,$235.33
05/12/2023,$233.81,16161450,$236.74,$236.9599,$231.45
05/11/2023,$235.79,20448990,$233.05,$238.21,$232.30
05/10/2023,$233.08,19119010,$236.17,$236.75,$230.72
05/09/2023,$233.37,16865590,$231.46,$235.88,$231.08
05/08/2023,$233.27,16400530,$231.415,$235.62,$230.27
05/05/2023,$232.78,27000480,$232.24,$234.68,$229.85
05/04/2023,$233.52,17889390,$236.06,$238.20,$232.9264
05/03/2023,$237.03,34463860,$239.47,$241.75,$232.75
05/02/2023,$239.24,24350150,$243.18,$244.92,$238.99
05/01/2023,$243.18,29143910,$238.615,$244.00,$236.46
04/28/2023,$240.32,39554040,$239.01,$240.43,$235.75
04/27/2023,$238.56,71196530,$239.89,$241.685,$236.77
04/26/2023,$209.40,41992730,$212.50,$214.11,$208.88
04/25/2023,$207.55,19198180,$210.815,$211.26,$207.13
04/24/2023,$212.79,15750920,$213.675,$213.92,$210.71
04/21/2023,$212.89,17717170,$210.21,$213.41,$209.58
04/20/2023,$213.07,16475440,$213.48,$216.75,$212.77
04/19/2023,$215.70,15898080,$213.472,$217.33,$212.93
04/18/2023,$217.89,12280980,$219.91,$220.44,$216.21
04/17/2023,$218.86,15481870,$219.79,$220.979,$217.13
04/14/2023,$221.49,21591210,$217.88,$222.11,$217.55
04/13/2023,$220.35,23310360,$215.73,$221.15,$215.69
04/12/2023,$214.00,18972170,$214.835,$216.84,$212.584
04/11/2023,$213.85,16710100,$215.48,$216.02,$213.41
04/10/2023,$214.75,16106070,$214.71,$215.66,$210.66
04/06/2023,$216.10,26104410,$209.25,$216.94,$208.65
04/05/2023,$211.48,19396630,$214.15,$215.19,$209.94
04/04/2023,$214.72,21026370,$213.39,$216.24,$212.54
04/03/2023,$213.07,17924610,$208.84,$213.4861,$208.20
03/31/2023,$211.94,25440270,$207.24,$212.17,$206.77
03/30/2023,$207.84,22608300,$203.38,$208.09,$202.82
03/29/2023,$205.35,18851140,$203.56,$205.72,$202.5355
03/28/2023,$200.68,19127300,$200.15,$201.03,$197.90
03/27/2023,$202.84,18527180,$204.81,$205.86,$201.36
03/24/2023,$206.01,27733040,$205.18,$207.58,$203.55
03/23/2023,$204.28,27389670,$202.84,$207.88,$202.15
03/22/2023,$199.81,28477760,$202.50,$207.37,$199.67
03/21/2023,$202.16,31826950,$203.20,$203.55,$197.95
03/20/2023,$197.81,25186320,$198.48,$199.36,$193.64
03/17/2023,$195.61,50141100,$200.56,$201.90,$195.4304
03/16/2023,$204.93,50819660,$198.26,$205.76,$196.0886
03/15/2023,$197.75,42123550,$192.95,$197.78,$190.8351
03/14/2023,$194.02,41642630,$187.58,$194.32,$186.56
03/13/2023,$180.90,24727970,$177.96,$183.78,$174.82
03/10/2023,$179.51,25665030,$181.01,$184.77,$178.80
03/09/2023,$181.69,26582750,$186.35,$188.93,$180.30
03/08/2023,$184.97,19432410,$182.87,$185.26,$181.34
03/07/2023,$184.51,36701500,$189.00,$190.36,$184.01
03/06/2023,$184.90,33209390,$188.00,$189.66,$184.64
03/03/2023,$185.25,45877690,$178.92,$186.62,$177.05
03/02/2023,$174.53,17360710,$172.38,$175.01,$171.43
03/01/2023,$173.42,30998380,$174.59,$177.85,$173.05
02/28/2023,$174.94,46051120,$171.90,$177.55,$171.87
02/27/2023,$169.54,19277000,$171.875,$173.12,$169.06
02/24/2023,$170.39,19791330,$168.64,$170.72,$167.66
02/23/2023,$172.04,20017780,$172.00,$173.69,$169.38
02/22/2023,$171.12,22433160,$171.07,$172.755,$169.69
02/21/2023,$172.08,34592580,$174.31,$178.17,$171.88
02/17/2023,$172.88,24171260,$170.22,$173.18,$169.70
02/16/2023,$172.44,25827470,$172.75,$175.85,$171.79
02/15/2023,$177.16,25337970,$176.415,$178.19,$175.33
02/14/2023,$179.48,24034630,$177.16,$181.5064,$175.88
02/13/2023,$179.43,31463220,$178.215,$181.00,$175.82
02/10/2023,$174.15,33433570,$176.353,$178.89,$173.35
02/09/2023,$177.92,37118810,$186.13,$186.65,$177.27
02/08/2023,$183.43,36139070,$190.00,$190.83,$182.92
02/07/2023,$191.62,47080660,$185.575,$193.7799,$184.40
02/06/2023,$186.06,42483810,$186.53,$190.70,$185.5156
02/03/2023,$186.53,76809700,$183.465,$196.77,$182.89
02/02/2023,$188.77,150475700,$183.38,$197.16,$180.16
02/01/2023,$153.12,55661020,$148.03,$153.58,$147.06
01/31/2023,$148.97,29842110,$147.95,$149.88,$147.52
01/30/2023,$147.06,28040100,$149.405,$151.1233,$146.95
01/27/2023,$151.74,35771870,$148.237,$153.19,$147.39
01/26/2023,$147.30,25482080,$144.40,$147.51,$143.30
01/25/2023,$141.50,26622020,$141.22,$143.17,$140.31
