Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,62.990002,63.459999,62.590000,62.939999,61.106731,12702100
2022-07-12,63.000000,63.450001,62.470001,62.669998,60.844597,14731100
2022-07-13,62.330002,63.000000,61.980000,62.380001,60.563046,13145300
2022-07-14,61.330002,62.250000,61.299999,62.180000,60.368877,14433000
2022-07-15,62.750000,62.970001,62.070000,62.500000,60.679550,21968400
2022-07-18,62.520000,62.560001,61.509998,61.650002,59.854313,10780800
2022-07-19,62.090000,62.650002,61.930000,62.529999,60.708675,10998200
2022-07-20,62.400002,62.580002,61.150002,61.500000,59.708679,11010500
2022-07-21,61.259998,61.880001,60.790001,61.360001,59.572758,11959600
2022-07-22,61.380001,61.869999,61.320000,61.590000,59.796059,11644700
2022-07-25,61.549999,62.299999,61.310001,62.189999,60.378578,14941700
2022-07-26,62.750000,63.799999,62.529999,63.209999,61.368870,20118000
2022-07-27,62.880001,63.189999,61.790001,63.009998,61.174694,12142900
2022-07-28,62.919998,64.250000,62.889999,64.059998,62.194107,10837000
2022-07-29,63.709999,64.290001,63.630001,64.169998,62.300911,13734200
2022-08-01,64.089996,65.040001,64.029999,64.519997,62.640713,12831500
2022-08-02,64.589996,64.599998,63.430000,63.639999,61.786343,15241900
2022-08-03,63.549999,64.099998,63.310001,63.919998,62.058193,11317000
2022-08-04,63.639999,63.730000,62.919998,63.669998,61.815475,11795600
2022-08-05,63.630001,63.630001,62.669998,63.380001,61.533920,10445400
2022-08-08,63.500000,63.810001,62.750000,62.970001,61.135864,9165200
2022-08-09,63.180000,63.310001,62.849998,63.049999,61.213531,7910900
2022-08-10,63.630001,63.790001,63.099998,63.650002,61.796059,8857300
2022-08-11,63.689999,63.990002,63.080002,63.220001,61.378578,8507800
2022-08-12,63.430000,63.759998,63.090000,63.700001,61.844601,9489300
2022-08-15,63.639999,64.690002,63.570000,64.500000,62.621296,9863300
2022-08-16,64.570000,65.230003,64.330002,65.029999,63.135857,9569600
2022-08-17,64.830002,65.220001,64.760002,64.879997,62.990227,8144000
2022-08-18,64.959999,65.349998,64.709999,65.220001,63.320332,6532000
2022-08-19,65.209999,65.470001,64.959999,65.169998,63.271778,8921100
2022-08-22,64.839996,64.919998,63.990002,64.199997,62.330032,9087900
2022-08-23,63.820000,64.370003,63.680000,64.269997,62.397991,8443800
2022-08-24,64.239998,64.580002,64.050003,64.360001,62.485378,6844700
2022-08-25,64.360001,64.709999,63.900002,64.669998,62.786346,7913900
2022-08-26,64.730003,64.800003,62.980000,63.110001,61.271786,10089500
2022-08-29,62.689999,63.029999,62.410000,62.730000,60.902851,9115900
2022-08-30,62.910000,62.910000,61.990002,62.150002,60.339752,8456800
2022-08-31,62.380001,62.529999,61.700001,61.709999,59.912567,14633600
2022-09-01,61.580002,62.040001,61.290001,62.000000,60.194115,14939700
2022-09-02,62.389999,62.770000,60.900002,61.150002,59.368877,11809800
2022-09-06,61.290001,61.970001,60.990002,61.180000,59.397999,12181800
