Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,53.000000,53.740002,52.750000,52.889999,51.011402,12921400
2022-07-12,52.689999,52.779999,51.709999,52.040001,50.191601,14633500
2022-07-13,51.860001,52.310001,51.509998,51.790001,49.950474,12927300
2022-07-14,50.750000,51.590000,50.630001,51.389999,49.564686,14023800
2022-07-15,51.040001,51.910000,50.430000,51.750000,49.911900,19885700
2022-07-18,51.959999,51.970001,50.520000,50.750000,48.947418,15742900
2022-07-19,51.040001,51.509998,50.610001,51.369999,49.545395,13402100
2022-07-20,51.389999,51.459999,50.509998,50.820000,49.014931,12774400
2022-07-21,50.570000,51.139999,50.180000,51.119999,49.304272,15103800
2022-07-22,51.259998,51.529999,50.950001,51.230000,49.410370,10932100
2022-07-25,51.340000,51.880001,51.340000,51.770000,49.931187,12995800
2022-07-26,51.840000,52.849998,51.709999,52.299999,50.442360,16632500
2022-07-27,51.939999,52.250000,51.189999,51.950001,50.104794,19203500
2022-07-28,50.849998,52.330002,49.099998,50.720001,49.298065,38984900
2022-07-29,50.560001,50.709999,49.279999,50.509998,49.093948,25037900
2022-08-01,50.320000,51.299999,50.150002,50.610001,49.191143,19709900
2022-08-02,50.900002,51.470001,49.630001,49.689999,48.296936,17802000
2022-08-03,49.790001,50.070000,49.340000,49.860001,48.462173,16500100
2022-08-04,49.900002,50.049999,49.209999,49.860001,48.462173,17026300
2022-08-05,49.639999,49.970001,49.060001,49.270000,47.888714,16376600
2022-08-08,49.389999,49.810001,48.939999,49.570000,48.180302,16071800
2022-08-09,49.750000,50.110001,49.520000,49.779999,48.384418,12095600
2022-08-10,49.930000,50.049999,49.380001,49.950001,48.549648,17355100
2022-08-11,48.220001,49.130001,47.810001,48.290001,46.936192,44048800
2022-08-12,48.549999,50.389999,48.549999,50.110001,48.705166,25835500
2022-08-15,49.970001,50.070000,49.389999,49.750000,48.355255,15797800
2022-08-16,49.380001,50.180000,49.360001,49.860001,48.462173,12874800
2022-08-17,49.650002,49.860001,49.250000,49.270000,47.888714,13607200
2022-08-18,49.389999,49.520000,48.380001,48.580002,47.218056,18916300
2022-08-19,48.840000,49.450001,48.730000,49.150002,47.772079,15350200
2022-08-22,49.209999,49.400002,48.740002,48.900002,47.529087,13601200
2022-08-23,48.419998,48.520000,47.759998,48.009998,46.664040,16248900
2022-08-24,47.900002,48.009998,47.380001,47.430000,46.100300,15551500
2022-08-25,47.520000,47.950001,47.270000,47.900002,46.557121,14460000
2022-08-26,47.619999,47.959999,46.700001,46.820000,45.507397,16546700
2022-08-29,46.380001,46.689999,46.119999,46.230000,44.933937,13400500
2022-08-30,46.340000,46.349998,45.799999,45.849998,44.564594,16303000
2022-08-31,46.009998,46.290001,45.130001,45.230000,43.961971,26416800
2022-09-01,45.139999,46.650002,45.139999,46.630001,45.322731,19947600
2022-09-02,46.740002,46.799999,45.529999,45.700001,44.418800,14667700
2022-09-06,45.959999,46.439999,45.529999,45.759998,44.477112,17153500
2022-09-07,45.700001,46.209999,45.380001,46.130001,44.836746,15378900
2022-09-08,46.020000,47.119999,45.869999,47.080002,45.760113,18271000
2022-09-09,47.200001,47.990002,47.099998,47.840000,46.498802,17501700
2022-09-12,48.080002,48.349998,47.689999,47.759998,46.421047,13744800
2022-09-13,47.130001,47.320000,46.020000,46.189999,44.895061,16603200
2022-09-14,46.200001,46.410000,45.779999,46.150002,44.856182,17162500
2022-09-15,46.110001,46.290001,45.700001,45.939999,44.652069,15802000
2022-09-16,46.090000,46.619999,45.639999,46.029999,44.739544,30629500
2022-09-19,45.680000,45.880001,44.779999,45.439999,44.166084,16256200
2022-09-20,45.000000,45.270000,44.439999,44.770000,43.514874,15369000
2022-09-21,44.810001,44.980000,43.900002,43.919998,42.688698,17505200
2022-09-22,43.669998,45.000000,43.520000,44.570000,43.320477,18508100
2022-09-23,44.439999,44.560001,43.580002,44.080002,42.844219,18871700
2022-09-26,43.810001,44.330002,43.669998,43.830002,42.601227,18680200
2022-09-27,44.220001,44.580002,43.740002,44.090000,42.853939,21562700
2022-09-28,44.669998,44.810001,44.220001,44.430000,43.184402,16532600
2022-09-29,44.410000,44.619999,43.950001,44.160000,42.921974,13559900
2022-09-30,44.169998,44.610001,43.730000,43.759998,42.533184,22962300
2022-10-03,44.070000,44.279999,43.490002,44.139999,42.902534,22834300
2022-10-04,44.250000,44.840000,44.090000,44.459999,43.213558,28198800
2022-10-05,44.119999,44.369999,43.680000,44.119999,42.883095,15673400
2022-10-06,43.759998,43.779999,43.040001,43.090000,41.881969,22068200
2022-10-07,43.049999,43.049999,41.919998,42.320000,41.133560,20095000
2022-10-10,42.349998,42.619999,41.750000,41.750000,40.579536,17888000
2022-10-11,41.660000,42.570000,41.450001,41.919998,40.744770,20981200
2022-10-12,42.090000,43.139999,41.919998,42.029999,40.851685,18803600
2022-10-13,41.759998,43.160000,41.700001,42.980000,41.775055,23135200
2022-10-14,42.889999,43.380001,42.360001,42.860001,41.658421,16980500
2022-10-17,43.189999,43.810001,43.189999,43.650002,42.426273,16678400
2022-10-18,44.049999,44.360001,43.619999,44.090000,42.853939,18442800
2022-10-19,43.910000,44.070000,42.740002,43.110001,41.901409,23054700
2022-10-20,43.270000,43.410000,42.820000,42.910000,41.707020,17715000
2022-10-21,43.310001,45.160000,42.990002,44.950001,43.689823,36575700
2022-10-24,45.080002,45.869999,44.990002,45.540001,44.263287,24972000
2022-10-25,45.270000,45.820000,44.889999,45.590000,44.311886,23127000
2022-10-26,45.919998,46.650002,45.619999,46.060001,44.768707,21407900
2022-10-27,45.810001,46.110001,45.680000,45.740002,44.457680,20377700
